ID,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
1,25,1,49,91107,4,1.6,1,0,0,1,0,0,0
2,45,19,34,90089,3,1.5,1,0,0,1,0,0,0
3,39,15,11,94720,1,1.0,1,0,0,0,0,0,0
15,67,41,112,91741,1,2.0,1,0,0,1,0,0,0
18,42,18,81,94305,4,2.4,1,0,0,0,0,0,0
23,29,5,62,90277,1,1.2,1,260,0,0,0,1,0
24,44,18,43,91320,2,0.7,1,163,0,1,0,0,0
25,36,11,152,95521,2,3.9,1,159,0,0,0,0,1
26,43,19,29,94305,3,0.5,1,97,0,0,0,1,0
28,46,20,158,90064,1,2.4,1,0,0,0,0,1,1
36,48,24,81,92647,3,0.7,1,0,0,0,0,0,0
37,59,35,121,94720,1,2.9,1,0,0,0,0,0,1
42,34,9,60,94122,3,2.3,1,0,0,0,0,0,0
44,39,15,45,95616,1,0.7,1,0,0,0,0,1,0
45,46,20,104,94065,1,5.7,1,0,0,0,0,1,1
46,57,31,52,94720,4,2.5,1,0,0,0,0,0,1
50,40,16,49,92373,1,1.8,1,0,0,0,0,0,1
52,61,37,131,94720,1,2.9,1,0,0,0,0,1,0
53,30,6,72,94005,1,0.1,1,207,0,0,0,0,0
56,41,17,139,94022,2,8.0,1,0,0,0,0,1,0
59,28,2,93,94065,2,0.2,1,0,0,0,0,0,0
60,31,5,188,91320,2,4.5,1,455,0,0,0,0,0
62,47,21,125,93407,1,5.7,1,112,0,1,0,0,0
63,42,18,22,90089,1,1.0,1,0,0,0,0,0,0
65,47,23,105,90024,2,3.3,1,0,0,0,0,0,0
66,59,35,131,91360,1,3.8,1,0,0,0,0,1,1
67,62,36,105,95670,2,2.8,1,336,0,0,0,0,0
69,47,21,60,93407,3,2.1,1,0,0,0,0,1,1
70,53,29,20,90045,4,0.2,1,0,0,0,0,1,0
71,42,18,115,91335,1,3.5,1,0,0,0,0,0,1
73,44,20,130,92007,1,5.0,1,0,0,0,0,0,1
75,28,3,135,94611,2,3.3,1,0,0,0,0,0,1
80,50,26,19,94720,2,0.4,1,118,0,0,0,1,0
81,60,36,41,95134,4,1.3,1,174,0,0,0,1,1
82,47,22,40,94612,3,2.7,2,0,0,0,0,1,0
88,48,22,78,94305,3,1.1,1,0,0,0,0,1,0
89,65,41,51,94117,2,1.1,1,0,0,0,0,1,0
95,65,39,121,92612,1,2.0,1,0,0,0,0,0,0
97,41,15,80,95014,1,5.2,1,0,0,0,0,0,0
98,54,28,161,92121,1,2.9,1,0,0,0,0,1,0
99,49,23,94,92374,1,0.3,1,0,0,0,0,1,0
101,48,23,74,94080,1,1.2,1,0,0,0,0,1,0
105,56,32,38,93311,4,1.3,1,166,0,0,0,1,1
107,43,17,69,92717,4,2.9,1,0,0,0,0,1,1
108,42,18,43,92037,1,0.7,1,136,0,0,0,0,0
110,43,17,49,94542,1,2.8,1,0,0,0,0,1,0
113,40,15,82,91775,3,1.0,1,309,0,0,0,0,0
114,58,34,92,92703,2,2.8,1,103,0,0,0,0,0
119,41,16,73,92647,3,3.0,1,0,0,0,0,1,0
120,32,7,112,94304,1,4.6,1,366,0,0,0,0,0
125,39,15,78,92121,4,2.4,1,118,0,0,0,1,0
126,60,35,80,91301,3,0.5,1,0,0,0,0,1,0
127,31,5,115,92096,2,1.3,1,101,0,0,0,1,1
129,38,14,74,92182,2,0.0,1,0,0,1,0,1,0
131,28,4,81,94801,3,1.5,1,276,0,0,0,1,0
136,58,33,45,93010,4,2.1,1,0,0,0,0,1,1
138,49,25,128,95054,2,0.4,1,0,0,0,0,0,0
139,59,34,42,94928,3,1.5,1,0,0,1,1,0,1
142,35,11,58,95831,3,2.0,1,149,0,0,0,1,1
144,25,1,54,94117,4,1.6,1,0,0,0,0,1,1
146,59,35,124,90007,1,7.4,1,0,0,0,0,0,1
149,52,28,163,91423,2,0.4,1,116,0,0,0,1,0
151,46,22,118,94107,2,7.5,1,0,0,0,1,1,1
153,57,32,24,93117,1,1.3,1,0,0,0,0,1,1
154,60,36,22,94551,2,1.0,1,0,0,1,1,1,1
156,24,0,60,94596,4,1.6,1,0,0,0,0,1,0
157,26,0,15,92131,4,0.4,1,0,0,0,0,0,1
158,41,17,83,94025,4,2.67,1,0,0,0,0,1,1
162,61,35,80,95053,2,2.8,1,0,0,0,0,1,0
