Classifier,Dataset,Baseline (Paper),ADASYN (Paper),CFA (Paper),Baseline,ADASYN,CFA_val,Reported Improvement,Actual Improvement
Logistic Regression,D12-Yeast-1-vs-7,0.862,0.863,0.922,0.874,0.868,0.867,0.06,-0.006
Logistic Regression,D14-Abalone-13-vs-R,0.737,0.747,0.838,0.734,0.738,0.734,0.101,0.0
Logistic Regression,D22-Wine-Quality-White-3-9-vs-5,0.742,0.677,0.692,0.767,0.747,0.763,-0.05,-0.004
Logistic Regression,D8-Yeast-0-3-5-9-vs-7-8,0.792,0.796,0.788,0.811,0.806,0.812,-0.004,0.001
Logistic Regression,D9-Abalone-9-vs-16,0.945,0.951,0.99,0.938,0.939,0.939,0.044,0.001
Random Forest,D12-Yeast-1-vs-7,0.849,0.853,0.983,0.853,0.792,0.844,0.134,-0.009
Random Forest,D14-Abalone-13-vs-R,0.75,0.763,0.98,0.74,0.717,0.74,0.23,0.0
Random Forest,D22-Wine-Quality-White-3-9-vs-5,0.806,0.799,0.999,0.832,0.779,0.832,0.194,0.0
Random Forest,D8-Yeast-0-3-5-9-vs-7-8,0.787,0.8,0.937,0.823,0.779,0.82,0.15,-0.003
Random Forest,D9-Abalone-9-vs-16,0.89,0.917,0.994,0.895,0.89,0.89,0.104,-0.006
